10000,  9966.0,       9961.0,       9960.0,       9959.0,       9958.0,       9957.0
10.0,     10.0,         10.0,         10.0,         10.0,         10.0,         10.0
0,      9.9,        4.980,      3.316,      2.491,      1.993,      1.660
0,      0.001,    0.01,    0.01,    0.01,    0.01,    0.01
