Temps,Mouvement X,Temps,Mouvement Y
0       ,-0.004506038091042,0        ,1.01110918474854
0.033333,-0.0814090881781587,0.033333,0.998306282757425
0.066666,-0.177537900787054,0.066666,0.96629902777963
0.099999,-0.267258125888691,0.099999,0.953496125788512
0.133332,-0.369795526004846,0.133332,0.915087419815158
0.166665,-0.465924338613742,0.166665,0.889481615832923
0.199998,-0.562053151222638,0.199998,0.838270007868451
0.233331,-0.638956201309755,0.233331,0.793459850899538
0.266664,-0.74790218893317,0.266664,0.723043889948389
0.299997,-0.792762301483989,0.299997,0.659029379992799
0.33333,-0.863256764063846,0.33333,0.58861341904165
0.366663,-0.901708289107404,0.366663,0.511796007094942
0.399996,-0.952976989165482,0.399996,0.422175693157116
0.433329,-0.99142851420904,0.433329,0.345358281210408
0.466662,-1.02347145174534,0.466662,0.255737967272582
0.499995,-1.04910580177438,0.499995,0.146913300348079
0.533328,-1.06833156429616,0.533328,0.0636944374058122
0.566661,-1.08114873931068,0.566661,-0.0323273275275727
0.599994,-1.06833156429616,0.599994,-0.11554619046984
0.633327,-1.0619229767889,0.633327,-0.205166504407666
0.66666,-1.03628862675986,0.66666,-0.30758972033661
0.699993,-0.9978371017163,0.699993,-0.397210034274435
0.733326,-0.965794164180001,0.733326,-0.480428897216703
0.766659,-0.927342639136443,0.766659,-0.563647760158969
0.799992,-0.882482526585625,0.799992,-0.640465172105677
0.833325,-0.837622414034807,0.833325,-0.717282584052385
0.866658,-0.76712795145495,0.866658,-0.794099995999093
0.899991,-0.703042076382352,0.899991,-0.864515956950242
0.933324,-0.638956201309755,0.933324,-0.915727564914714
0.966657,-0.568461738729898,0.966657,-0.973340623874745
0.99999,-0.491558688642781,0.99999,-1.00534787885254
1.033323,-0.414655638555664,1.033323,-1.04375658482589
1.066656,-0.337752588468548,1.066656,-1.07576383980369
1.099989,-0.248032363366912,1.099989,-1.10136964378592
1.133322,-0.164720725772535,1.133322,-1.10777109478148
1.166655,-0.0750005006708989,1.166655,-1.12697544776816
1.199988,0.00831113692347762,1.199988,-1.1205739967726
1.233321,0.0852141870105943,1.233321,-1.11417254577704
1.266654,0.155708649590451,1.266654,-1.11417254577704
1.299987,0.245428874692087,1.299987,-1.09496819279037
1.33332,0.341557687300984,1.33332,-1.07576383980369
1.366653,0.399234974866321,1.366653,-1.05015803582145
1.399986,0.463320849938918,1.399986,-1.0117493298481
1.433319,0.533815312518775,1.433319,-0.960537721883627
1.466652,0.604309775098632,1.466652,-0.922129015910273
1.499985,0.66198706266397,1.499985,-0.870917407945801
1.533318,0.706847175214788,1.533318,-0.81330434898577
1.566651,0.777341637794645,1.566651,-0.774895643012416
1.599984,0.828610337852723,1.599984,-0.704479682061267
1.633317,0.879879037910801,1.633317,-0.646866623101236
1.66665,0.931147737968879,1.66665,-0.576450662150087
1.699983,0.956782087997917,1.699983,-0.518837603190057
1.733316,0.988825025534216,1.733316,-0.442020191243349
1.766649,1.01445937556326,1.766649,-0.352399877305523
1.799982,1.04650231309955,1.799982,-0.281983916354373
1.833315,1.05931948811407,1.833315,-0.217969406398784
1.866648,1.04650231309955,1.866648,-0.134750543456517
1.899981,1.05931948811407,1.899981,-0.0643345825053678
1.933314,1.04650231309955,1.933314,0.0252857314324582
1.966647,1.03368513808503,1.966647,0.0700958884013711
1.99998,1.04009372559229,1.99998,0.159716202339197
2.033313,1.008050788056,2.033313,0.242935065281464
2.066646,0.988825025534216,2.066646,0.319752477228172
2.099979,0.982416438026956,2.099979,0.358161183201526
2.133312,0.943964912983398,2.133312,0.434978595148234
2.166645,0.918330562954359,2.166645,0.492591654108265
2.199978,0.88628762541806,2.199978,0.543803262072737
2.233311,0.860653275389021,2.233311,0.58861341904165
2.266644,0.815793162838203,2.266644,0.646226478001681
2.299977,0.770933050287385,2.299977,0.678233732979476
2.33331,0.738890112751087,2.33331,0.71664243895283
2.366643,0.681212825185749,2.366643,0.748649693930625
2.399976,0.636352712634931,2.399976,0.774255497912861
2.433309,0.585084012576853,2.433309,0.806262752890656
2.466642,0.546632487533295,2.466642,0.84467145886401
2.499975,0.482546612460697,2.499975,0.883080164837363
2.533308,0.444095087417139,2.533308,0.9086859688196
2.566641,0.392826387359061,2.566641,0.927890321806276
2.599974,0.335149099793724,2.599974,0.959897576784071
2.633307,0.271063224721126,2.633307,0.979101929770748
2.66664,0.213385937155789,2.66664,0.991904831761866
2.699973,0.155708649590451,2.699973,1.00470773375298
2.733306,0.110848537039633,2.733306,1.00470773375298
2.766639,0.0403540744597763,2.766639,1.00470773375298
