Temps,MouvementX1,Temps,MouvementY1,Temps,ModeleDeMouvementX1,Temps,MouvementX2,Temps,MouvementY2,Temps,ModeleDeMouvementX2
0,-0.0715468583220665,0,-0.0757035366547166,0,-0.0778450557490488,0,-0.0455603676001147,0,-0.0641378584049396,0,-0.0447200916512942
0.0666666,-0.057611043905216,0.00677965423728814,-0.0707087577012743,0.00677965423728814,-0.0767870364323638,0.0666666,-0.0514157290208459,0.0666666,-0.0604158686943938,0.0666666,-0.0471166740110397
0.1333332,-0.01425517683057,0.0135593084745763,-0.06585680018727,0.0135593084745763,-0.0754264803421185,0.1333332,-0.0466249787675204,0.1333332,-0.0614792943259783,0.1333332,-0.0407949772782009
0.1999998,0.0368428093645485,0.0203389627118644,-0.0611452993091488,0.0203389627118644,-0.0737686628556601,0.1999998,-0.0333173391749497,0.1999998,-0.0667964224839008,0.1999998,-0.0271015807947448
0.2666664,0.072456557318722,0.0271186169491525,-0.0565719075579678,0.0271186169491525,-0.0718200119423146,0.2666664,-0.014154338161648,0.2666664,-0.067328135299693,0.2666664,-0.00870230968149825
0.333333,0.0801986764391945,0.0338982711864407,-0.0521342948775832,0.0338982711864407,-0.0695880832397804,0.333333,0.00607327401905947,0.333333,-0.0678598481154853,0.333333,0.0109342207908305
0.3999996,0.0647144381982495,0.0406779254237288,-0.0478301488174249,0.0406779254237288,-0.0670815307581367,0.3999996,0.0263008861997669,0.3999996,-0.0683915609312775,0.3999996,0.028188666583902
0.4666662,0.0182617234754145,0.047457579661017,-0.0436571746799121,0.047457579661017,-0.0643100733250573,0.4666662,0.0396085257923376,0.4666662,-0.0641378584049396,0.4666662,0.0399563754579202
0.5333328,-0.0320620508076567,0.0542372338983051,-0.0396130956625679,0.0542372338983051,-0.0612844569023343,0.5333328,0.0438669704619602,0.5333328,-0.0646695712207318,0.5333328,0.0442041412839886
0.7333326,-0.066901586849783,0.0745761966101695,-0.0282317325713121,0.0745761966101695,-0.0508046187680758,0.7333326,0.0151224689420075,0.7333326,-0.0678598481154853,0.7333326,0.0130073208430942
0.7999992,-0.026642567423326,0.0813558508474576,-0.0246808285937627,0.0813558508474576,-0.0468888313824193,0.7999992,-0.00244361532018576,0.7999992,-0.0678598481154853,0.7999992,-0.00515431688733344
0.8666658,0.0267780545079342,0.0881355050847458,-0.0212477087604785,0.0881355050847458,-0.0427864335821221,0.8666658,-0.0200096995823791,0.8666658,-0.0657329968523163,0.8666658,-0.0219307102266244
0.9333324,0.0701339215825802,0.0949151593220339,-0.0179302063341346,0.0949151593220339,-0.0385133318752519,0.9333324,-0.0333173391749497,0.9333324,-0.0646695712207318,0.9333324,-0.034282931230822
0.999999,0.0809728883512417,0.101694813559322,-0.0147261733235318,0.101694813559322,-0.0340860946518287,0.999999,-0.0391727005956808,0.999999,-0.0636061455891473,0.999999,-0.040047676201693
1.0666656,0.0709081334946275,0.10847446779661,-0.0116334805852896,0.10847446779661,-0.0295218879420718,1.0666656,-0.0375757838445723,1.0666656,-0.0630744327733551,1.0666656,-0.0383139379406237
1.1333322,0.0360685974525012,0.115254122033898,-0.00865001792073331,0.115254122033898,-0.0248384088573741,1.1333322,-0.0317204224238413,1.1333322,-0.065201284036524,1.1333322,-0.0295623669731828
1.1999988,-0.020448872126948,0.122033776271186,-0.00577369416802698,0.122033776271186,-0.02005381697208,1.1999988,-0.0157512549127564,1.1999988,-0.0662647096681085,1.1999988,-0.0155470001809953
1.2666654,-0.0599336796413577,0.128813430508475,-0.00300243728960702,0.128813430508475,-0.0151866639121233,1.2666654,0.000217912598328381,1.2666654,-0.0683915609312775,1.2666654,0.00105338955004236
1.333332,-0.0738694940582082,0.135593084745763,-0.00033419445496928,0.135593084745763,-0.010255821423537,1.333332,0.0161870801094132,1.333332,-0.0678598481154853,1.333332,0.0171455169361676
1.3999986,-0.0715468583220665,0.142372738983051,0.00223306788113724,0.142372738983051,-0.00528040819973945,1.3999986,0.0278978029508754,1.3999986,-0.0667964224839008,1.3999986,0.0297965167306275
1.4666652,-0.0405783818401765,0.149152393220339,0.00470136390505706,0.149152393220339,-0.000279715751314434,1.4666652,0.035350081122715,1.4666652,-0.0657329968523163,1.4666652,0.0367669942647417
1.5333318,0.010519604354942,0.155932047457627,0.00707268837506256,0.155932047457627,0.00472686639428462,1.5333318,0.0342854699553093,1.5333318,-0.065201284036524,1.5333318,0.0369055891721952
1.5999984,0.0608433786380132,0.162711701694915,0.00934901655662383,0.162711701694915,0.00971992587307789,1.5999984,0.0284301085345782,1.5999984,-0.0657329968523163,1.5999984,0.0303358886894544
1.666665,0.0794244645271472,0.169491355932203,0.0115323041620617,0.169491355932203,0.0146801027534481,1.666665,0.0172516912768188,1.666665,-0.0683915609312775,1.666665,0.0184060230057475
1.7333316,0.0771018287910055,0.176271010169492,0.013624487294532,0.176271010169492,0.0195881646017299,1.7333316,0.00394405168424816,1.7333316,-0.0689232737470698,1.7333316,0.00341533763382974
1.7999982,0.0484559880452572,0.18305066440678,0.0156274823962888,0.18305066440678,0.0244250810534422,1.7999982,-0.010960504659431,1.7999982,-0.067328135299693,1.7999982,-0.0118269938009879
1.8666648,0.001229061410375,0.189830318644068,0.0175431862011768,0.189830318644068,0.029172097601025,1.8666648,-0.0242681442520017,1.8666648,-0.0662647096681085,1.8666648,-0.0245270036717529
1.9333314,-0.0506431366967907,0.196609972881356,0.019373475691299,0.196609972881356,0.0338108083119756,1.9333314,-0.0301235056727328,1.9333314,-0.0646695712207318,1.9333314,-0.0324167363295285
