Temps,ModeleDeMouvementX2,Temps,MouvementY2,Temps,MouvementX2
0,-0.0447200916512942,0,-0.0641378584049396,0,-0.0455603676001147
0.0666666,-0.0471166740110397,0.0666666,-0.0604158686943938,0.0666666,-0.0514157290208459
0.1333332,-0.0407949772782009,0.1333332,-0.0614792943259783,0.1333332,-0.0466249787675204
0.1999998,-0.0271015807947448,0.1999998,-0.0667964224839008,0.1999998,-0.0333173391749497
0.2666664,-0.00870230968149825,0.2666664,-0.067328135299693,0.2666664,-0.014154338161648
0.333333,0.0109342207908305,0.333333,-0.0678598481154853,0.333333,0.00607327401905947
0.3999996,0.028188666583902,0.3999996,-0.0683915609312775,0.3999996,0.0263008861997669
0.4666662,0.0399563754579202,0.4666662,-0.0641378584049396,0.4666662,0.0396085257923376
0.5333328,0.0442041412839886,0.5333328,-0.0646695712207318,0.5333328,0.0438669704619602
0.5999994,0.0403188067043958,0.5999994,-0.0646695712207318,0.5999994,0.0412054425434461
0.666666,0.0291884775664195,0.666666,-0.0667964224839008,0.666666,0.0310916364530923
0.7333326,0.0130073208430942,0.7333326,-0.0678598481154853,0.7333326,0.0151224689420075
0.7999992,-0.00515431688733344,0.7999992,-0.0678598481154853,0.7999992,-0.00244361532018576
0.8666658,-0.0219307102266244,0.8666658,-0.0657329968523163,0.8666658,-0.0200096995823791
0.9333324,-0.034282931230822,0.9333324,-0.0646695712207318,0.9333324,-0.0333173391749497
0.999999,-0.040047676201693,0.999999,-0.0636061455891473,0.999999,-0.0391727005956808
1.0666656,-0.0383139379406237,1.0666656,-0.0630744327733551,1.0666656,-0.0375757838445723
1.1333322,-0.0295623669731828,1.1333322,-0.065201284036524,1.1333322,-0.0317204224238413
1.1999988,-0.0155470001809953,1.1999988,-0.0662647096681085,1.1999988,-0.0157512549127564
1.2666654,0.00105338955004236,1.2666654,-0.0683915609312775,1.2666654,0.000217912598328381
1.333332,0.0171455169361676,1.333332,-0.0678598481154853,1.333332,0.0161870801094132
1.3999986,0.0297965167306275,1.3999986,-0.0667964224839008,1.3999986,0.0278978029508754
1.4666652,0.0367669942647417,1.4666652,-0.0657329968523163,1.4666652,0.035350081122715
1.5333318,0.0369055891721952,1.5333318,-0.065201284036524,1.5333318,0.0342854699553093
1.5999984,0.0303358886894544,1.5999984,-0.0657329968523163,1.5999984,0.0284301085345782
1.666665,0.0184060230057475,1.666665,-0.0683915609312775,1.666665,0.0172516912768188
1.7333316,0.00341533763382974,1.7333316,-0.0689232737470698,1.7333316,0.00394405168424816
1.7999982,-0.0118269938009879,1.7999982,-0.067328135299693,1.7999982,-0.010960504659431
1.8666648,-0.0245270036717529,1.8666648,-0.0662647096681085,1.8666648,-0.0242681442520017
1.9333314,-0.0324167363295285,1.9333314,-0.0646695712207318,1.9333314,-0.0301235056727328
1.999998,-0.0341576876397902,1.999998,-0.0646695712207318,1.999998,-0.0322527280075441
2.0666646,-0.0295654122417183,2.0666646,-0.0662647096681085,2.0666646,-0.0274619777542186
2.1333312,-0.0196181068829591,2.1333312,-0.0657329968523163,2.1333312,-0.0189450884149734
2.1999978,-0.00625230911589792,2.1999978,-0.0689232737470698,2.1999978,-0.00404053207129423
2.2666644,0.00801227199302039,2.2666644,-0.067328135299693,2.2666644,0.00873480193757361
2.333331,0.0205464333537322,2.333331,-0.0678598481154853,2.333331,0.019913219195333
2.3999976,0.0290948598660488,2.3999976,-0.067328135299693,2.3999976,0.028962414118281
2.4666642,0.032180567916309,2.4666642,-0.0662647096681085,2.4666642,0.0305593308693895
2.5333308,0.0293581410968673,2.5333308,-0.067328135299693,2.5333308,0.0284301085345782
2.5999974,0.021272726874566,2.5999974,-0.0678598481154853,2.5999974,0.0188486080279273
2.666664,0.00951823578250421,2.666664,-0.0678598481154853,2.666664,0.00820249635387077
2.7333306,-0.00367493776928735,2.7333306,-0.0683915609312775,2.7333306,-0.00457283765499707
2.7999972,-0.0158618270897129,2.7999972,-0.067328135299693,2.7999972,-0.0157512549127564
2.8666638,-0.0248348612332931,2.8666638,-0.0657329968523163,2.8666638,-0.0242681442520017
2.9333304,-0.0290225497012277,2.9333304,-0.0657329968523163,2.9333304,-0.0269296721705158
2.999997,-0.027763108779039,2.999997,-0.0657329968523163,2.999997,-0.0258650610031101
3.0666636,-0.0214056978264558,3.0666636,-0.0678598481154853,3.0666636,-0.0184127828312706
3.1333302,-0.0112245033094242,3.1333302,-0.067328135299693,3.1333302,-0.00883128232461968
3.1999968,0.000834531563957671,3.1999968,-0.067328135299693,3.1999968,0.00234713493313969
3.2666634,0.0125243490007956,3.2666634,-0.0678598481154853,3.2666634,0.0129932466071962
3.33333,0.0217144252686619,3.33333,-0.067328135299693,3.33333,0.0220424415301443
3.3999966,0.0267779950420178,3.3999966,-0.0678598481154853,3.3999966,0.0273654973671726
3.4666632,0.026878674655529,3.4666632,-0.067328135299693,3.4666632,0.0263008861997669
3.5333298,0.0221062416878306,3.5333298,-0.0689232737470698,3.5333298,0.0204455247790358
3.5999964,0.0134400194698302,3.5999964,-0.0678598481154853,3.5999964,0.0113963298560877
3.666663,0.00255032346842472,3.666663,-0.067328135299693,3.666663,0.00128252376573402
3.7333296,-0.00852217599105778,3.7333296,-0.067328135299693,3.7333296,-0.00883128232461968
3.7999962,-0.0177478546892817,3.7999962,-0.0657329968523163,3.7999962,-0.0200096995823791
3.8666628,-0.023479199724145,3.8666628,-0.065201284036524,3.8666628,-0.023203533084596
3.9333294,-0.0247438804276379,3.9333294,-0.0662647096681085,3.9333294,-0.0242681442520017
3.999996,-0.0214079100034026,3.999996,-0.067328135299693,3.999996,-0.0194773939986762
4.0666626,-0.0141818807257177,4.0666626,-0.067328135299693,4.0666626,-0.0114928102431338
4.1333292,-0.00447255317407551,4.1333292,-0.0689232737470698,4.1333292,-0.00244361532018576
4.1999958,0.00588967830564774,4.1999958,-0.067328135299693,4.1999958,0.00713788518646514
4.2666624,0.0149948795332319,4.2666624,-0.0689232737470698,4.2666624,0.0177839968605217
4.333329,0.0212047200908803,4.333329,-0.0678598481154853,4.333329,0.0236393582812528
4.3999956,0.0234462735477604,4.3999956,-0.0678598481154853,4.3999956,0.0236393582812528
4.4666622,0.0213959756936336,4.4666622,-0.0678598481154853,4.4666622,0.0204455247790358
4.5333288,0.0155224815376397,4.5333288,-0.0678598481154853,4.5333288,0.0156547745257104
4.5999954,0.00698365682962663,4.5999954,-0.0683915609312775,4.5999954,0.00500866285165383
4.666662,-0.00260027117021861,4.666662,-0.0689232737470698,4.666662,-0.0035082264875914
4.7333286,-0.0114532032817029,4.7333286,-0.067328135299693,4.7333286,-0.0120251158268367
4.7999952,-0.0179714919129131,4.7999952,-0.0662647096681085,4.7999952,-0.0194773939986762
